stream;model;QP;FPS;Resolution;Accuracy;Bitrate;Latency;GPU_load
2;yolov5l;8;25;1280x720;0.912488;17950.8;41.62;40.96
2;yolov5l;6;20;1280x720;0.911964;19446.8;40.24;40.91
2;yolov5l;6;25;1280x720;0.913044;22141.7;41.06;41.02
3;yolov5s;22;20;1280x720;0.714139;904.7;27.76;42.13
3;yolov5s;22;25;1280x720;0.723724;1016.5;26.89;43.62
3;yolov5s;20;20;1280x720;0.706543;1142.3;27.78;43.04
3;yolov5s;20;25;1280x720;0.702542;1284.4;28.53;42.28
3;yolov5s;18;20;1280x720;0.70198;1452.6;28.17;41.11
3;yolov5s;18;25;1280x720;0.697026;1635.4;27.96;41.8
3;yolov5s;16;20;1280x720;0.694599;1873.2;27.87;42.14
3;yolov5s;16;25;1280x720;0.697327;2126.4;28.54;42.49
3;yolov5s;14;20;1280x720;0.6956;2251.1;27.62;42.3
3;yolov5s;14;25;1280x720;0.704048;2548.7;28.73;41.07
3;yolov5s;12;20;1280x720;0.690986;2813.3;27.37;41.22
3;yolov5s;12;25;1280x720;0.693637;3181.3;28.43;41.34
3;yolov5s;10;20;1280x720;0.697027;3581.7;27.94;41.3
3;yolov5s;10;25;1280x720;0.696354;4076.4;27.34;42.15
3;yolov5s;8;20;1280x720;0.693152;4449.8;28.32;42.15
3;yolov5s;8;25;1280x720;0.697225;5064.0;27.93;42.44
3;yolov5s;6;20;1280x720;0.691962;5642.6;27.39;43.18
3;yolov5s;6;25;1280x720;0.697234;6509.3;28.58;41.19
3;yolov5m;22;20;1280x720;0.7766;904.7;33.45;41.59
3;yolov5m;22;25;1280x720;0.78308;1016.5;32.93;41.5
3;yolov5m;20;20;1280x720;0.783209;1142.3;32.64;41.5
3;yolov5m;20;25;1280x720;0.777742;1284.4;34.33;40.39
3;yolov5m;18;20;1280x720;0.774617;1452.6;32.18;40.59
3;yolov5m;18;25;1280x720;0.770528;1635.4;31.67;42.36
3;yolov5m;16;20;1280x720;0.775754;1873.2;31.52;41.33
3;yolov5m;16;25;1280x720;0.768105;2126.4;32.75;40.79
3;yolov5m;14;20;1280x720;0.771359;2251.1;33.85;41.11
3;yolov5m;14;25;1280x720;0.781125;2548.7;33.52;40.11
3;yolov5m;12;20;1280x720;0.774601;2813.3;32.38;39.91
3;yolov5m;12;25;1280x720;0.771342;3181.3;32.88;40.82
3;yolov5m;10;20;1280x720;0.771187;3581.7;33.82;39.91
3;yolov5m;10;25;1280x720;0.770402;4076.4;33.14;40.57
3;yolov5m;8;20;1280x720;0.772132;4449.8;33.4;40.81
3;yolov5m;8;25;1280x720;0.775312;5064.0;32.28;39.98
3;yolov5m;6;20;1280x720;0.767835;5642.6;31.77;40.31
3;yolov5m;6;25;1280x720;0.772846;6509.3;31.41;41.13
3;yolov5l;22;20;1280x720;0.799146;904.7;38.62;39.18
3;yolov5l;22;25;1280x720;0.80551;1016.5;37.94;39.34
3;yolov5l;20;20;1280x720;0.804327;1142.3;37.37;39.5
3;yolov5l;20;25;1280x720;0.799101;1284.4;36.15;40.5
3;yolov5l;18;20;1280x720;0.802601;1452.6;37.22;39.71
3;yolov5l;18;25;1280x720;0.800633;1635.4;38.87;39.23
3;yolov5l;16;20;1280x720;0.798553;1873.2;38.03;38.82
3;yolov5l;16;25;1280x720;0.798531;2126.4;38.78;37.9
3;yolov5l;14;20;1280x720;0.790887;2251.1;38.3;38.19
3;yolov5l;14;25;1280x720;0.80163;2548.7;37.28;38.42
3;yolov5l;12;20;1280x720;0.795252;2813.3;39.77;37.42
3;yolov5l;12;25;1280x720;0.795929;3181.3;37.98;38.93
3;yolov5l;10;20;1280x720;0.799268;3581.7;36.62;38.75
3;yolov5l;10;25;1280x720;0.796906;4076.4;37.32;39.35
3;yolov5l;8;20;1280x720;0.790904;4449.8;37.33;37.44
3;yolov5l;8;25;1280x720;0.796144;5064.0;38.29;38.34
3;yolov5l;6;20;1280x720;0.79249;5642.6;36.12;37.15
3;yolov5l;6;25;1280x720;0.794547;6509.3;38.83;38.19
